START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.3101, 0.1633, 0.8855], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [8.3373, 0.1633, 0.8738], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.3373, 0.1633, 0.8738], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.5538, 0.1633, 0.8709], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.7946, 0.1633, 0.9716], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.0112, 0.1633, 1.0966], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [9.0112, 0.1633, 1.0966], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [9.0112, 0.1633, 1.0966], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [9.0112, 0.1633, 1.0966], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [9.1361, 0.1633, 0.8801], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [9.1361, 0.1633, 0.8801], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [9.1361, 0.1633, 0.8801], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [9.1361, 0.1633, 0.8801], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [9.1361, 0.1633, 0.8801], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.8861, 0.1633, 0.8801], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.6361, 0.1633, 0.8709], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.3861, 0.1633, 0.8709], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.1361, 0.1633, 0.8709], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.8861, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.6361, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.3861, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.1361, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.8861, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6361, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.3861, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1361, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.8861, 0.1633, 0.8711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6361, 0.1633, 0.8711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.3861, 0.1633, 0.8711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1361, 0.1633, 0.8711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [5.1361, 0.1633, 0.8711], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.9196, 0.1633, 0.9961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.7031, 0.1633, 1.1211], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [4.7031, 0.1633, 1.1211], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.7031, 0.1633, 1.1211], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.4866, 0.1633, 0.9961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.2701, 0.1633, 0.8711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.0536, 0.1633, 0.7461], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
stop, Pos: [4.0536, 0.1633, 0.7461], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
